"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"[Journal First] Are Fix-Inducing Changes a Moving Target?: A Longitudinal Case Study of Just-in-Time Defect Prediction","S. McIntosh; Y. Kamei","McGill Univ., Montréal, QC, Canada; Kyushu Univ., Fukuoka, Japan","2018 IEEE/ACM 40th International Conference on Software Engineering (ICSE)","2 Sep 2018","2018","","","560","560","Just-In-Time (JIT) models identify fix-inducing code changes. JIT models are trained using techniques that assume that past fix-inducing changes are similar to future ones. However, this assumption may not hold, e.g., as system complexity tends to accrue, expertise may become more important as systems age. In this paper, we study JIT models as systems evolve. Through a longitudinal case study of 37,524 changes from the rapidly evolving Qt and OpenStack systems, we find that fluctuations in the properties of fix-inducing changes can impact the performance and interpretation of JIT models. More specifically: (a) the discriminatory power (AUC) and calibration (Brier) scores of JIT models drop considerably one year after being trained; (b) the role that code change properties (e.g., Size, Experience) play within JIT models fluctuates over time; and (c) those fluctuations yield over- and underestimates of the future impact of code change properties on the likelihood of inducing fixes. To avoid erroneous or misleading predictions, JIT models should be retrained using recently recorded data (within three months). Moreover, quality improvement plans should be informed by JIT models that are trained using six months (or more) of historical data, since they are more resilient to period-specific fluctuations in the importance of code change properties.","1558-1225","978-1-4503-5638-1","10.1145/3180155.3182514","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8453123","Just In Time prediction;Defect prediction;Mining software repositories","Software engineering;Predictive models;History;Fluctuations;Training;Data models;Software","data mining;just-in-time;learning (artificial intelligence);public domain software;software fault tolerance;software management","fix-inducing changes;JIT models;just-in-time models;just-in-time defect prediction;Qt systems;OpenStack systems;fix-inducing code changes;code change properties","","1","","","","2 Sep 2018","","","IEEE","IEEE Conferences"
"Poster: Bridging Effort-Aware Prediction and Strong Classification - A Just-in-Time Software Defect Prediction Study","Y. Guo; M. Shepperd; N. Li","Xi'an Jiaotong Univ., Xian, China; Brunel Univ. London, Uxbridge, UK; Northwestern Polytech. Univ., Xian, China","2018 IEEE/ACM 40th International Conference on Software Engineering: Companion (ICSE-Companion)","30 Aug 2018","2018","","","325","326","Context: Most research into software defect prediction ignores the differing amount of effort entailed in searching for defects between software components. The result is sub-optimal solutions in terms of allocating testing resources. Recently effort-aware (EA) defect prediction has sought to redress this deficiency. However, there is a gap between previous classification research and EA prediction. Objective: We seek to transfer strong defect classification capability to efficient effort-aware software defect prediction. Method: We study the relationship between classification performance and the cost-effectiveness curve experimentally (using six open-source software data sets). Results: We observe extremely skewed distributions of change size which contributes to the lack of relationship between classification performance and the ability to find efficient test orderings for defect detection. Trimming allows all effort-aware approaches bridging high classification capability to efficient effort-aware performance. Conclusion: Effort distributions dominate effort-aware models. Trimming is a practical method to handle this problem.","2574-1934","978-1-4503-5663-3","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8449561","Software;defect prediction;effort-aware;just-in-time","Predictive models;Software engineering;Testing;Measurement;Open source software;Bridges","just-in-time;pattern classification;program testing;public domain software","just-in-time software defect prediction study;software components;EA prediction;open-source software data sets;effort-aware models;effort-aware software defect prediction;defect classification capability;effort distributions","","","","","","30 Aug 2018","","","IEEE","IEEE Conferences"
"JITLine: A Simpler, Better, Faster, Finer-grained Just-In-Time Defect Prediction","C. Pornprasit; C. K. Tantithamthavorn","Monash University,Melbourne,Australia; Monash University,Melbourne,Australia","2021 IEEE/ACM 18th International Conference on Mining Software Repositories (MSR)","28 Jun 2021","2021","","","369","379","A Just-In-Time (JIT) defect prediction model is a classifier to predict if a commit is defect-introducing. Recently, CC2Vec-a deep learning approach for Just-In-Time defect prediction-has been proposed. However, CC2Vec requires the whole dataset (i.e., training + testing) for model training, assuming that all unlabelled testing datasets would be available beforehand, which does not follow the key principles of just-in-time defect predictions. Our replication study shows that, after excluding the testing dataset for model training, the F-measure of CC2Vec is decreased by 38.5% for OpenStack and 45.7% for Qt, highlighting the negative impact of excluding the testing dataset for Just-In-Time defect prediction. In addition, CC2Vec cannot perform fine-grained predictions at the line level (i.e., which lines are most risky for a given commit). In this paper, we propose JITLine-a Just-In-Time defect prediction approach for predicting defect-introducing commits and identifying lines that are associated with that defect-introducing commit (i.e., defective lines). Through a case study of 37,524 commits from OpenStack and Qt, we find that our JITLine approach is at least 26%-38% more accurate (F-measure), 17%-51% more cost-effective (PCI@20%LOC), 70-100 times faster than the state-of-the-art approaches (i.e., CC2Vec and DeepJIT) and the fine-grained predictions at the line level by our approach are 133%-150% more accurate (Top-10 Accuracy) than the baseline NLP approach. Therefore, our JITLine approach may help practitioners to better prioritize defect-introducing commits and better identify defective lines.","2574-3864","978-1-7281-8710-5","10.1109/MSR52588.2021.00049","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463103","Software Quality Assurance;Just In Time Defect Prediction;Explainable AI","Training;Deep learning;Computational modeling;Predictive models;Software;Data mining;Artificial intelligence","data handling;just-in-time;learning (artificial intelligence);natural language processing;program testing;software engineering","Just-In-Time defect prediction model;CC2Vec-a deep learning approach;model training;unlabelled testing datasets;testing dataset;fine grained prediction;just-in-time defect prediction approach;identifying lines;defective lines;JITLine approach;faster finer grained just in time defect prediction;simpler finer grained just in time defect prediction;NLP","","","","44","","28 Jun 2021","","","IEEE","IEEE Conferences"
"Explainable Just-In-Time Bug Prediction: Are We There Yet?","R. Aleithan","York University, Canada","2021 IEEE/ACM 43rd International Conference on Software Engineering: Companion Proceedings (ICSE-Companion)","7 May 2021","2021","","","129","131","Explaining the prediction results of software bug prediction models is a challenging task, which can provide useful information for developers to understand and fix the predicted bugs. Recently, Jirayus et al.'s proposed to use two model-agnostic techniques (i.e., LIME and iBreakDown) to explain the prediction results of bug prediction models. Although their experiments on file-level bug prediction show promising results, the performance of these techniques on explaining the results of just-in-time (i.e., change-level) bug prediction is unknown. This paper conducts the first empirical study to explore the explainability of these model-agnostic techniques on just-in-time bug prediction models. Specifically, this study takes a three-step approach, 1) replicating previously widely used just-in-time bug prediction models, 2) applying Local Interpretability Model-agnostic Explanation Technique (LIME) and iBreakDown on the prediction results, and 3) manually evaluating the explanations for buggy instances (i.e. positive predictions) against the root cause of the bugs. The results of our experiment show that LIME and iBreakDown fail to explain defect prediction explanations for just-in-time bug prediction models, unlike file-level. This paper urges for new approaches for explaining the results of just-in-time bug prediction models.","2574-1926","978-1-6654-1219-3","10.1109/ICSE-Companion52605.2021.00056","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9402344","Bug prediction;Prediction Explanation","Computer bugs;Predictive models;Software;Task analysis;Software engineering","explanation;formal verification;program debugging","defect prediction explanations;software bug prediction;explainable just in time bug prediction;local interpretability model-agnostic explanation;iBreakDown","","","","13","","7 May 2021","","","IEEE","IEEE Conferences"
"Simplified Deep Forest Model based Just-In-Time Defect Prediction for Android Mobile Apps","K. Zhao; Z. Xu; T. Zhang; Y. Tang","Wuhan University,School of Computer Science,Wuhan,China; Chongqing University,School of Big Data and Software Engineering,Chongqing,China; Macau University of Science and Technology,Faculty of Information Technology,Macao,China; The Hong Kong Polytechnic University,Department of Computing,Hong Kong,China","2020 IEEE 20th International Conference on Software Quality, Reliability and Security (QRS)","11 Dec 2020","2020","","","222","222","The popularity of mobile devices has led to an explosive growth in the number of mobile apps in which Android mobile apps are the mainstream. Android mobile apps usually undergo frequent update due to new requirements proposed by users. Just-In-Time (JIT) defect prediction is appropriate for this scenario for quality assurance because it can provide timely feedback by determining whether a new code commit will introduce defects into the apps. As defect prediction performance usually relies on the quality of the data representation and the used classification model, in this work, we modify a state-of-the-art model, called Simplified Deep Forest (SDF) to conduct JIT defect prediction for Android mobile apps. This method uses a cascade structure with ensemble forests for representation learning and classification. We conduct experiments on 10 Android mobile apps and experimental results show that SDF performs significantly better than comparative methods in terms of three performance indicators.","","978-1-7281-8913-0","10.1109/QRS51102.2020.00039","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9282763","n/a","Forestry;Software quality;Predictive models;Data models;Mobile applications;Software reliability;Security","just-in-time;learning (artificial intelligence);mobile computing;software quality","defect prediction performance;JIT defect prediction;Android mobile apps;just-in-time defect prediction;simplified deep forest model","","","","0","","11 Dec 2020","","","IEEE","IEEE Conferences"
"Deep Learning for Just-in-Time Defect Prediction","X. Yang; D. Lo; X. Xia; Y. Zhang; J. Sun","Coll. of Comput. Sci. & Technol., Zhejiang Univ., Hangzhou, China; Sch. of Inf. Syst., Singapore Manage. Univ., Singapore, Singapore; Coll. of Comput. Sci. & Technol., Zhejiang Univ., Hangzhou, China; Coll. of Comput. Sci. & Technol., Zhejiang Univ., Hangzhou, China; Coll. of Comput. Sci. & Technol., Zhejiang Univ., Hangzhou, China","2015 IEEE International Conference on Software Quality, Reliability and Security","24 Sep 2015","2015","","","17","26","Defect prediction is a very meaningful topic, particularly at change-level. Change-level defect prediction, which is also referred as just-in-time defect prediction, could not only ensure software quality in the development process, but also make the developers check and fix the defects in time. Nowadays, deep learning is a hot topic in the machine learning literature. Whether deep learning can be used to improve the performance of just-in-time defect prediction is still uninvestigated. In this paper, to bridge this research gap, we propose an approach Deeper which leverages deep learning techniques to predict defect-prone changes. We first build a set of expressive features from a set of initial change features by leveraging a deep belief network algorithm. Next, a machine learning classifier is built on the selected features. To evaluate the performance of our approach, we use datasets from six large open source projects, i.e., Bugzilla, Columba, JDT, Platform, Mozilla, and PostgreSQL, containing a total of 137,417 changes. We compare our approach with the approach proposed by Kamei et al. The experimental results show that on average across the 6 projects, Deeper could discover 32.22% more bugs than Kamei et al's approach (51.04% versus 18.82% on average). In addition, Deeper can achieve F1-scores of 0.22-0.63, which are statistically significantly higher than those of Kamei et al.'s approach on 4 out of the 6 projects.","","978-1-4673-7989-2","10.1109/QRS.2015.14","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7272910","Deep Learning;Just-In-Time Defect Prediction;Deep Belief Network;Cost Effectiveness","Feature extraction;Logistics;Machine learning;Computer bugs;Measurement;Training;Software quality","just-in-time;learning (artificial intelligence);pattern classification;software quality","deep learning;just-in-time defect prediction;change-level defect prediction;software quality;machine learning literature;machine learning classifier","","101","","40","","24 Sep 2015","","","IEEE","IEEE Conferences"
"Just-In-Time Bug Prediction in Mobile Applications: The Domain Matters!","G. Catolino","Univ. of Salerno, Salerno, Italy","2017 IEEE/ACM 4th International Conference on Mobile Software Engineering and Systems (MOBILESoft)","11 Jul 2017","2017","","","201","202","Bug prediction allows developers to focus testing efforts on specific areas of software systems. While this topic has been extensively studied for traditional applications, investigations on mobile apps are still missing. In this paper we preliminarily study the effectiveness of a previously defined Just-In-Time bug prediction model applied on five mobile apps. Key results indicate the poor performance of the model and the need of further research on the topic.","","978-1-5386-2669-6","10.1109/MOBILESoft.2017.58","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7972741","","Mobile communication;Computer bugs;Predictive models;Context;Size measurement","just-in-time;mobile computing;program debugging;program testing;software engineering","just-in-time bug prediction;mobile applications;software system testing;mobile apps","","4","","13","","11 Jul 2017","","","IEEE","IEEE Conferences"
"Enhancing Just-in-Time Defect Prediction Using Change Request-based Metrics","H. D. Tessema; S. L. Abebe","Addis Ababa University,Addis Ababa Institute of Technology,Addis Ababa,Ethiopia; Addis Ababa University,Addis Ababa Institute of Technology,Addis Ababa,Ethiopia","2021 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)","11 May 2021","2021","","","511","515","Identifying defective software components as early as their commit helps to reduce significant software development and maintenance costs. In recent years, several studies propose to use just-in-time (JIT) defect prediction techniques to identify changes that could introduce defects at check-in time. To predict defect introducing changes, JIT defect prediction approaches use change metrics collected from software repositories. These change metrics, however, capture code and code change related information. Information related to the change requests (e.g., clarity of change request and difficulty to implement the change) that could determine the change's proneness to introducing new defects are not studied. In this study, we propose to augment the publicly available change metrics dataset with six change request- based metrics collected from issue tracking systems. To build the prediction model, we used five machine learning algorithms: AdaBoost, XGBoost, Deep Neural Network, Random Forest and Logistic Regression. The proposed approach is evaluated using a dataset collected from four open source software systems, i.e., Eclipse platform, Eclipse JDT, Bugzilla and Mozilla. The results show that the augmented dataset improves the performance of JIT defect prediction in 19 out of 20 cases. F1-score of JIT defect prediction in the four systems is improved by an average of 4.8%, 3.4%, 1.7%, 1.1% and 1.1% while using AdaBoost, XGBoost, Deep Neural Network, Random Forest and Logistic Regression, respectively.","1534-5351","978-1-7281-9630-5","10.1109/SANER50967.2021.00056","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9426021","Just-in-Time Software Defect Prediction;Software Bugs;Issue Tracking Systems;Software Metrics","Measurement;Machine learning algorithms;Conferences;Neural networks;Predictive models;Maintenance engineering;Random forests","data mining;just-in-time;learning (artificial intelligence);neural nets;program debugging;public domain software;regression analysis;software engineering;software maintenance;software metrics;software quality","defect introducing changes;JIT defect prediction approaches;software repositories;code change related information;publicly available change metrics dataset;prediction model;open source software systems;change request-based metrics;identifying defective software components;significant software development;maintenance costs;just-in-time defect prediction techniques;check-in time","","","","14","","11 May 2021","","","IEEE","IEEE Conferences"
"Effort-Aware Just-in-Time Bug Prediction for Mobile Apps Via Cross-Triplet Deep Feature Embedding","Z. Xu; K. Zhao; T. Zhang; C. Fu; M. Yan; Z. Xie; X. Zhang; G. Catolino","Key Laboratory of Dependable Service Computing in Cyber Physical Society (Chongqing University), Ministry of Education, China, and School of Big Data and Software Engineering, Chongqing University, Chongqing 401331 China (e-mail: zhouxullx@cqu.edu.cn).; School of Computer Science, Wuhan University, Wuhan 430072 China (e-mail: kszhao@whu.edu.cn).; Faculty of Information Technology, Macau University of Science and Technology, Macau 999078 China (e-mail: tazhang@must.edu.mo).; Key Laboratory of Dependable Service Computing in Cyber Physical Society (Chongqing University), Ministry of Education, China, and School of Big Data and Software Engineering, Chongqing University, Chongqing 401331 China (e-mail: clfu@cqu.edu.cn).; Key Laboratory of Dependable Service Computing in Cyber Physical Society (Chongqing University), Ministry of Education, China, and School of Big Data and Software Engineering, Chongqing University, Chongqing 401331 China (e-mail: mengy@cqu.edu.cn).; School of Computer Science, Wuhan University, Wuhan 430072 China (e-mail: xiezhiwen@mails.ccnu.edu.cn).; Key Laboratory of Dependable Service Computing in Cyber Physical Society (Chongqing University), Ministry of Education, China, and School of Big Data and Software Engineering, Chongqing University, Chongqing 401331 China (e-mail: xhongz@cqu.edu.cn).; Jheronimus Academy of Data Science, Tilburg University, Tilburg 90153 The Netherlands (e-mail: g.catolino@tilburguniversity.edu).","IEEE Transactions on Reliability","","2021","PP","99","1","17","Just-in-time (JIT) bug prediction is an effective quality assurance activity that identifies whether a code commit will introduce bugs into the mobile app, aiming to provide prompt feedback to practitioners for priority review. Since collecting sufficient labeled bug data is not always feasible for some mobile apps, one possible approach is to leverage cross-app models. In this work, we propose a new cross-triplet deep feature embedding method, called CDFE, for cross-app JIT bug prediction task. The CDFE method incorporates a state-of-the-art cross-triplet loss function into a deep neural network to learn high-level feature representation for the cross-app data. This loss function adapts to the cross-app feature learning task and aims to learn a new feature space to shorten the distance of commit instances with the same label and enlarge the distance of commit instances with different labels. In addition, this loss function assigns higher weights to losses caused by cross-app instance pairs than that by intra-app instance pairs, aiming to narrow the discrepancy of cross-app bug data. We evaluate our CDFE method on a benchmark bug dataset from 19 mobile apps with two effort-aware indicators. The experimental results on 342 cross-app pairs show that our proposed CDFE method performs better than 14 baseline methods.","1558-1721","","10.1109/TR.2021.3066170","National Key Research and Development Project(grant numbers:2018YFB2101200); National Natural Science Foundation of China(grant numbers:62002034); Fundamental Research Funds for the Central Universities(grant numbers:2020CDCGRJ072 2020CDJQY-A021); China Postdoctoral Science Foundation(grant numbers:2020M673137); Natural Science Foundation of Chongqing in China(grant numbers:cstc2020jcyj-bshX0114); Science and Technology Development Fund of Macau(grant numbers:0047/2020/A1); Faculty Research Grant Projects of MUST(grant numbers:FRG-20-008-FI); European Commission(grant numbers:825040); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9400509","Cross-triplet feature embedding;effort-aware performance;just-in-time bug prediction;metric learning;mobile app bug prediction","Computer bugs;Predictive models;Mobile applications;Feature extraction;Deep learning;Task analysis;Data models","","","","","","","IEEE","12 Apr 2021","","","IEEE","IEEE Early Access Articles"
"The Impact of Mislabeled Changes by SZZ on Just-in-Time Defect Prediction","Y. Fan; X. Xia; D. A. da Costa; D. Lo; A. E. Hassan; S. Li","College of Computer Science and Technology, Ningbo Research Institute, Zhejiang University, Hangzhou, China; Faculty of Information Technology, Monash University, Melbourne, VIC, Australia; Information Science Department, University of Otago, Dunedin, New Zealand; School of Information Systems, Singapore Management University, Singapore, Singapore; School of Computing, Queen's University, Kingston, ON, Canada; College of Computer Science and Technology, Ningbo Research Institute, Zhejiang University, Hangzhou, China","IEEE Transactions on Software Engineering","12 Aug 2021","2021","47","8","1559","1586","Just-in-Time (JIT) defect prediction-a technique which aims to predict bugs at change level-has been paid more attention. JIT defect prediction leverages the SZZ approach to identify bug-introducing changes. Recently, researchers found that the performance of SZZ (including its variants) is impacted by a large amount of noise. SZZ may considerably mislabel changes that are used to train a JIT defect prediction model, and thus impact the prediction accuracy. In this paper, we investigate the impact of the mislabeled changes by different SZZ variants on the performance and interpretation of JIT defect prediction models. We analyze four SZZ variants (i.e., B-SZZ, AG-SZZ, MA-SZZ, and RA-SZZ) that are proposed by prior studies. We build the prediction models using the labeled data by these four SZZ variants. Among the four SZZ variants, RA-SZZ is least likely to generate mislabeled changes, and we construct the testing set by using RA-SZZ. All of the four prediction models are then evaluated on the same testing set. We choose the prediction model built on the labeled data by RA-SZZ as the baseline model, and we compare the performance and metric importance of the models trained using the labeled data by the other three SZZ variants with the baseline model. Through a large-scale empirical study on a total of 126,526 changes from ten Apache open source projects, we find that in terms of various performance measures (AUC, F1-score, G-mean and Recall@20%), the mislabeled changes by B-SZZ and MA-SZZ are not likely to cause a considerable performance reduction, while the mislabeled changes by AG-SZZ cause a statistically significant performance reduction with an average difference of 1-5 percent. When considering developers' inspection effort (measured by LOC) in practice, the changes mislabeled B-SZZ and AG-SZZ lead to 9-10 and 1-15 percent more wasted inspection effort, respectively. And the mislabeled changes by B-SZZ lead to significantly more wasted effort. The mislabeled changes by MA-SZZ do not cause considerably more wasted effort. We also find that the top-most important metric for identifying bug-introducing changes (i.e., number of files modified in a change) is robust to the mislabeling noise generated by SZZ. But the second- and third-most important metrics are more likely to be impacted by the mislabeling noise, unless random forest is used as the underlying classifier.","1939-3520","","10.1109/TSE.2019.2929761","National Key Research and Development Program of China(grant numbers:2018YFB1003904); NSFC Program(grant numbers:61602403); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8765743","Just-in-time defect prediction;SZZ;noisy data;mining software repositories","Predictive models;Data models;Computer bugs;Measurement;Inspection;Analytical models;Testing","data mining;just-in-time;program debugging;program testing;public domain software;software maintenance;software metrics","RA-SZZ;mislabeled changes;baseline model;MA-SZZ;bug-introducing change identification;JIT defect prediction model;bug detection;just-in-time defect prediction;B-SZZ;AG-SZZ;testing set;labeled data;mining software repositories","","3","","85","IEEE","18 Jul 2019","","","IEEE","IEEE Journals"
