,0
0,scm: supply chain management
1,"uncertainty analysis and evaluation of a complex, multi-specific weed dynamics model with diverse and incomplete data sets"
2,a bayesian network incorporating observation error to predict phosphorus and chlorophyll a in saginaw bay
3,strategy
4,on the assessment of software defect prediction models via roc curves
5,markov and multifractal wavelet models for wireless mac-to-mac channels
6,improving storage system availability with d-graid
7,prediction-based resource allocation for multimedia traffic over high-speed wireless networks
8,assessment of the different sources of uncertainty in a swat model of the river senne (belgium)
9,a scenario-based simulation framework of on- and off-site construction logistics
10,continuous test suite failure prediction
11,an integrated framework for automatic ontology learning from unstructured repair text data for effective fault detection and isolation in automotive domain
12,getting started with azure security center
13,an automated approach to estimating code coverage measures via execution logs
14,applying hierarchical task analysis to medication administration errors
15,a parallel spatial data analysis infrastructure for the cloud
16,architectural prototyping in industrial practice
17,effort-aware just-in-time bug prediction for mobile apps via cross-triplet deep feature embedding
18,"multi-level transaction management for complex objects: implementation, performance, parallelism"
19,machine learning in mental health: a systematic review of the hci literature to support the development of effective and implementable ml systems
20,factors that motivate software engineering teams: a four country empirical study
21,philosophies and technologies for ambient aware devices in wearable computing grids
22,privileged account management implementation
23,context: an industry 4.0 dataset of contextual faults in a smart factory
24,"sector-specific information infrastructure issues in the oil, gas, and petrochemical sector"
25,determinants of digitalization and digital divide in sub-saharan african economies: a spatial durbin analysis
26,hybrid mobile edge computing: unleashing the full potential of edge computing in mobile device use cases
27,practicing judo: java under dynamic optimizations
28,precision farming model to increase the production of exportable blueberries by implementing an adapting-to-change approach and risk assessment in agribusinesses in peru's coastal regions
29,static source code metrics and static analysis warnings for fine-grained just-in-time defect prediction
30,attack graph-based assessment of exploitability risks in automotive on-board networks
31,the effect of ambiguous prior knowledge on bayesian model parameter inference and prediction
32,high-confidence compositional reliability assessment of soa-based systems using machine learning techniques
33,the rise of android code smells: who is to blame?
34,security code smells in android icc
35,lightweight detection of node presence in manets
36,a systematic map on verification and validation of emergent behavior in software engineering research
37,a distributed fault identification protocol for wireless and mobile ad hoc networks
38,effort-aware just-in-time defect prediction: simple unsupervised models could be better than supervised models
39,a model library for simulation and benchmarking of integrated urban wastewater systems
40,cold-start software analytics
41,risk analysis of catastrophes using experts' judgements: an empirical study on risk analysis of major civil aircraft accidents in europe
42,a differential evolution-based approach for effort-aware just-in-time software defect prediction
43,manage risk in the language of business
44,simlean: utilising simulation in the implementation of lean in healthcare
45,test cases selection from sdl specifications
46,a multi-agent scheduling model for maximizing agent satisfaction
47,parameter estimation and uncertainty analysis for a watershed model
