# TABLE II
# OVERALL PREDICTIVE PERFORMANCE, EFFECT SIZES AND STATISTICAL
# TESTS TO COMPARE LEARNING APPROACHES
# Dataset Classifier R0 R1 |R0-R1| G-Mean
# Fabric8 OOB 50.24 (2.20) 74.44 (2.15) 28.50 (2.97) 59.03 (0.63)
# Fabric8 UOB 42.27 (5.94) [-b] 83.70 (4.68) [b] 43.90 (8.76) [-b] 57.07 (2.42) [-b]
# Fabric8 OOB(FixedIR) 62.64 (3.19) [b] 59.02 (2.63) [-b] 48.64 (2.88) [-b] 50.92 (0.98) [-b]
# Fabric8 OOB(FixedIR)* 99.95 (0.03) [b] 0.13 (0.17) [-b] 99.82 (0.20) [-b] 1.66 (1.47) [-b]
# Fabric8 OOB-SW 73.31 (0.11) [b] 46.35 (0.36) [-b] 47.73 (0.32) [-b] 50.74 (0.29) [-b]
# Fabric8 ORB 60.34 (1.75) [b] 68.35 (1.43) [-b] 20.59 (2.95) [b] 60.93 (0.87) [b]
# JGroups OOB 59.38 (1.40) 56.67 (1.52) 28.13 (1.45) 54.71 (0.50)
# JGroups UOB 73.77 (3.10) [b] 45.12 (3.02) [-b] 36.81 (3.66) [-b] 55.09 (0.71) [m]
# JGroups OOB(FixedIR) 53.14 (0.62) [-b] 58.70 (0.59) [b] 21.98 (0.67) [b] 53.38 (0.31) [-b]
# JGroups OOB(FixedIR)* 68.24 (1.70) [b] 47.96 (1.43) [-b] 30.19 (1.65) [-b] 53.08 (0.63) [-b]
# JGroups OOB-SW 81.49 (0.07) [b] 35.33 (0.26) [-b] 57.51 (0.31) [-b] 47.95 (0.25) [-b]
# JGroups ORB 62.65 (0.79) [b] 56.73 (1.23) [*] 17.79 (1.30) [b] 57.76 (0.96) [b]
# Camel OOB 57.06 (1.44) 73.99 (0.92) 25.47 (1.60) 62.90 (0.70)
# Camel UOB 55.57 (2.53) [-b] 71.28 (2.34) [-b] 29.27 (2.72) [-b] 60.35 (1.05) [-b]
# Camel OOB(FixedIR) 91.54 (0.54) [b] 20.97 (0.84) [-b] 76.82 (1.22) [-b] 38.24 (1.15) [-b]
# Camel OOB(FixedIR)* 87.42 (0.88) [b] 33.85 (0.90) [-b] 58.62 (1.20) [-b] 50.81 (0.94) [-b]
# Camel OOB-SW 71.67 (0.11) [b] 40.38 (0.27) [-b] 64.61 (0.31) [-b] 40.28 (0.41) [-b]
# Camel ORB 60.74 (0.61) [b] 70.41 (0.77) [-b] 17.03 (0.87) [b] 63.63 (0.50) [b]
# Tomcat OOB 59.81 (2.41) 61.75 (1.79) 29.42 (2.29) 57.28 (0.88)
# Tomcat UOB 68.47 (2.51) [b] 50.04 (2.57) [-b] 33.69 (2.85) [-b] 55.18 (1.05) [-b]
# Tomcat OOB(FixedIR) 93.54 (1.15) [b] 6.52 (1.44) [-b] 87.08 (2.51) [-b] 16.99 (2.29) [-b]
# Tomcat OOB(FixedIR)* 75.43 (1.06) [b] 45.06 (1.25) [-b] 42.59 (1.96) [-b] 53.04 (0.72) [-b]
# Tomcat OOB-SW 65.19 (0.15) [b] 52.30 (0.27) [-b] 35.93 (0.25) [-b] 54.53 (0.19) [-b]
# Tomcat ORB 59.43 (1.39) [-b] 64.37 (0.68) [b] 16.07 (1.52) [b] 60.18 (0.80) [b]
# Brackets OOB 49.10 (0.27) 89.48 (0.29) 41.90 (0.25) 63.93 (0.09)
# Brackets UOB 54.59 (1.52) [b] 83.09 (1.64) [-b] 32.98 (2.17) [b] 64.24 (0.44) [b]
# Brackets OOB(FixedIR) 58.54 (1.94) [b] 76.25 (3.09) [-b] 40.54 (2.35) [b] 61.17 (1.15) [-b]
# Brackets OOB(FixedIR)* 76.71 (1.39) [b] 60.59 (1.14) [-b] 27.29 (1.75) [b] 63.46 (0.91) [-b]
# Brackets OOB-SW 56.28 (0.10) [b] 79.82 (0.28) [-b] 42.80 (0.20) [-b] 61.67 (0.16) [-b]
# Brackets ORB 61.68 (1.07) [b] 77.14 (1.05) [-b] 36.00 (1.44) [b] 63.66 (0.48) [-b]
# Neutron OOB 69.71 (0.79) 91.89 (0.62) 23.97 (1.33) 79.31 (0.45)
# Neutron UOB 58.82 (1.60) [-b] 92.45 (0.34) [b] 38.40 (1.54) [-b] 70.72 (1.43) [-b]
# Neutron OOB(FixedIR) 94.81 (0.38) [b] 22.23 (0.56) [-b] 77.35 (0.62) [-b] 41.09 (0.69) [-b]
# Neutron OOB(FixedIR)* 82.72 (1.07) [b] 70.81 (1.71) [-b] 20.10 (2.02) [b] 75.59 (0.85) [-b]
# Neutron OOB-SW 73.82 (0.10) [b] 83.08 (0.36) [-b] 20.49 (0.32) [b] 76.73 (0.21) [-b]
# Neutron ORB 79.89 (1.63) [b] 81.12 (1.37) [-b] 13.98 (2.14) [b] 79.92 (0.46) [b]
# Spring-Integration OOB 62.47 (2.06) 53.74 (1.80) 47.27 (1.82) 48.11 (0.72)
# Spring-Integration UOB 55.65 (6.14) [-b] 59.30 (3.15) [b] 37.57 (4.86) [b] 52.19 (2.78) [b]
# Spring-Integration OOB(FixedIR) 55.39 (0.38) [-b] 52.86 (0.68) [-b] 48.29 (0.60) [-b] 44.75 (0.49) [-b]
# Spring-Integration OOB(FixedIR)* 98.96 (0.19) [b] 1.59 (0.19) [-b] 97.37 (0.31) [-b] 9.47 (0.68) [-b]
# Spring-Integration OOB-SW 45.55 (0.21) [-b] 79.87 (0.34) [b] 39.52 (0.30) [b] 56.11 (0.24) [b]
# Spring-Integration ORB 74.32 (0.86) [b] 44.31 (1.24) [-b] 37.30 (1.73) [b] 52.20 (0.83) [b]
# Broadleaf OOB 59.24 (1.23) 68.32 (1.89) 33.40 (2.50) 60.07 (0.75)
# Broadleaf UOB 59.32 (4.45) [*] 62.69 (4.92) [-b] 43.26 (4.37) [-b] 55.45 (1.31) [-b]
# Broadleaf OOB(FixedIR) 67.47 (1.21) [b] 58.39 (1.72) [-b] 39.77 (1.72) [-b] 58.17 (0.88) [-b]
# Broadleaf OOB(FixedIR)* 89.05 (0.96) [b] 26.74 (2.09) [-b] 62.55 (2.78) [-b] 45.68 (1.59) [-b]
# Broadleaf OOB-SW 78.20 (0.10) [b] 34.73 (0.31) [-b] 71.02 (0.33) [-b] 37.00 (0.60) [-b]
# Broadleaf ORB 61.60 (1.48) [b] 67.00 (1.47) [-b] 19.17 (2.32) [b] 61.97 (0.76) [b]
# Nova OOB 68.53 (0.35) 86.27 (0.70) 24.34 (0.59) 75.41 (0.23)
# Nova UOB 65.56 (0.63) [-b] 90.84 (0.89) [b] 27.59 (0.75) [-b] 75.93 (0.15) [b]
# Nova OOB(FixedIR) 81.62 (0.20) [b] 42.68 (0.46) [-b] 65.17 (0.34) [-b] 39.07 (0.73) [-b]
# Nova OOB(FixedIR)* 86.95 (0.64) [b] 55.90 (1.37) [-b] 36.96 (1.74) [-b] 66.29 (0.91) [-b]
# Nova OOB-SW 66.41 (0.05) [-b] 85.90 (0.17) [-b] 33.66 (0.17) [-b] 72.85 (0.10) [-b]
# Nova ORB 75.30 (2.26) [b] 80.13 (4.07) [-b] 20.31 (1.57) [b] 75.68 (0.96) [*]
# NPM OOB 37.91 (1.84) 74.88 (1.17) 49.67 (1.52) 46.17 (0.77)
# NPM UOB 38.26 (2.67) [*] 72.82 (1.88) [-b] 48.89 (1.71) [b] 45.86 (0.94) [-b]
# NPM OOB(FixedIR) 43.93 (1.52) [b] 67.66 (2.06) [-b] 47.74 (1.64) [b] 46.35 (1.08) [*]
# NPM OOB(FixedIR)* 82.77 (1.31) [b] 26.22 (1.13) [-b] 59.00 (1.86) [-b] 39.85 (1.03) [-b]
# NPM OOB-SW 55.55 (0.18) [b] 62.74 (0.54) [-b] 43.68 (0.31) [b] 50.53 (0.35) [b]
# NPM ORB 55.24 (0.84) [b] 63.94 (1.31) [-b] 31.73 (1.70) [b] 54.26 (0.91) [b]
# 
Dataset,Classifier,R0,R1,|R0-R1|,G-Mean
Fabric8,OOB,50.24,74.44,28.50,59.03
Fabric8,UOB,42.27,83.70,43.90,57.07
Fabric8,OOB(FixedIR),62.64,59.02,48.64,50.92
Fabric8,OOB(FixedIR)*,99.95,0.13,99.82,1.66
Fabric8,OOB-SW,73.31,46.35,47.73,50.74
Fabric8,ORB,60.34,68.35,20.59,60.93
JGroups,OOB,59.38,56.67,28.13,54.71
JGroups,UOB,73.77,45.12,36.81,55.09
JGroups,OOB(FixedIR),53.14,58.70,21.98,53.38
JGroups,OOB(FixedIR)*,68.24,47.96,30.19,53.08
JGroups,OOB-SW,81.49,35.33,57.51,47.95
JGroups,ORB,62.65,56.73,17.79,57.76
Camel,OOB,57.06,73.99,25.47,62.90
Camel,UOB,55.57,71.28,29.27,60.35
Camel,OOB(FixedIR),91.54,20.97,76.82,38.24
Camel,OOB(FixedIR)*,87.42,33.85,58.62,50.81
Camel,OOB-SW,71.67,40.38,64.61,40.28
Camel,ORB,60.74,70.41,17.03,63.63
Tomcat,OOB,59.81,61.75,29.42,57.28
Tomcat,UOB,68.47,50.04,33.69,55.18
Tomcat,OOB(FixedIR),93.54,6.52,87.08,16.99
Tomcat,OOB(FixedIR)*,75.43,45.06,42.59,53.04
Tomcat,OOB-SW,65.19,52.30,35.93,54.53
Tomcat,ORB,59.43,64.37,16.07,60.18
Brackets,OOB,49.10,89.48,41.90,63.93
Brackets,UOB,54.59,83.09,32.98,64.24
Brackets,OOB(FixedIR),58.54,76.25,40.54,61.17
Brackets,OOB(FixedIR)*,76.71,60.59,27.29,63.46
Brackets,OOB-SW,56.28,79.82,42.80,61.67
Brackets,ORB,61.68,77.14,36.00,63.66
Neutron,OOB,69.71,91.89,23.97,79.31
Neutron,UOB,58.82,92.45,38.40,70.72
Neutron,OOB(FixedIR),94.81,22.23,77.35,41.09
Neutron,OOB(FixedIR)*,82.72,70.81,20.10,75.59
Neutron,OOB-SW,73.82,83.08,20.49,76.73
Neutron,ORB,79.89,81.12,13.98,79.92
Spring-Integration,OOB,62.47,53.74,47.27,48.11
Spring-Integration,UOB,55.65,59.30,37.57,52.19
Spring-Integration,OOB(FixedIR),55.39,52.86,48.29,44.75
Spring-Integration,OOB(FixedIR)*,98.96,1.59,97.37,9.47
Spring-Integration,OOB-SW,45.55,79.87,39.52,56.11
Spring-Integration,ORB,74.32,44.31,37.30,52.20
Broadleaf,OOB,59.24,68.32,33.40,60.07
Broadleaf,UOB,59.32,62.69,43.26,55.45
Broadleaf,OOB(FixedIR),67.47,58.39,39.77,58.17
Broadleaf,OOB(FixedIR)*,89.05,26.74,62.55,45.68
Broadleaf,OOB-SW,78.20,34.73,71.02,37.00
Broadleaf,ORB,61.60,67.00,19.17,61.97
Nova,OOB,68.53,86.27,24.34,75.41
Nova,UOB,65.56,90.84,27.59,75.93
Nova,OOB(FixedIR),81.62,42.68,65.17,39.07
Nova,OOB(FixedIR)*,86.95,55.90,36.96,66.29
Nova,OOB-SW,66.41,85.90,33.66,72.85
Nova,ORB,75.30,80.13,20.31,75.68
NPM,OOB,37.91,74.88,49.67,46.17
NPM,UOB,38.26,72.82,48.89,45.86
NPM,OOB(FixedIR),43.93,67.66,47.74,46.35
NPM,OOB(FixedIR)*,82.77,26.22,59.00,39.85
NPM,OOB-SW,55.55,62.74,43.68,50.53
NPM,ORB,55.24,63.94,31.73,54.26
