# Table 10 Summary of AUC values for models using the training data without re-sampling
# Training project
BUG COL GIP JDT MAY MOZ PER PLA POS RUB RHI
BUG 0.76 0.70 0.70 0.73 0.66 0.71 0.70 0.73 0.70 0.70 0.68
COL 0.60 0.77 0.62 0.75 0.63 0.72 0.67 0.73 0.75 0.66 0.63
GIP 0.46 0.67 0.80 0.72 0.70 0.71 0.68 0.71 0.72 0.66 0.67
JDT 0.63 0.72 0.68 0.75 0.63 0.73 0.70 0.75 0.72 0.70 0.67
MAY 0.42 0.75 0.76 0.75 0.82 0.76 0.71 0.78 0.75 0.73 0.76
MOZ 0.72 0.76 0.75 0.79 0.70 0.80 0.75 0.80 0.78 0.75 0.74
PER 0.59 0.64 0.70 0.70 0.69 0.69 0.76 0.70 0.68 0.69 0.71
PLA 0.71 0.73 0.69 0.77 0.64 0.76 0.70 0.78 0.72 0.69 0.68
POS 0.52 0.76 0.73 0.75 0.71 0.75 0.71 0.75 0.79 0.74 0.72
RUB 0.55 0.67 0.66 0.70 0.62 0.65 0.71 0.66 0.69 0.74 0.68
RHI 0.61 0.73 0.74 0.73 0.74 0.77 0.78 0.74 0.73 0.71 0.81
