# Table 13 Summary ofF-measure values for models using the training data without re-sampling
# Training project
Project BUG COL GIP JDT MAV MOZ PER PLA POS RUB RHI
BUG 0.53 0.23 0.19 0.22 0.06 0.01 0.32 0.22 0.21 0.22 0.52
COL 0.37 0.50 0.09 0.19 0.00 0.01 0.33 0.16 0.43 0.35 0.40
GIP 0.12 0.19 0.60 0.24 0.36 0.02 0.43 0.20 0.48 0.25 0.56
JDT 0.30 0.30 0.11 0.13 0.01 0.01 0.26 0.14 0.31 0.28 0.33 
MAV 0.14 0.16 0.31 0.22 0.33 0.05 0.25 0.30 0.36 0.28 0.34
MOZ 0.22 0.22 0.25 0.28 0.17 0.11 0.25 0.29 0.28 0.25 0.19
PER 0.19 0.11 0.32 0.16 0.20 0.02 0.36 0.11 0.34 0.15 0.46
PLA 0.39 0.29 0.13 0.21 0.03 0.01 0.27 0.25 0.31 0.27 0.33
POS 0.35 0.34 0.41 0.31 0.29 0.03 0.39 0.32 0.48 0.40 0.51
RUB 0.19 0.19 0.07 0.07 0.05 0.00 0.19 0.06 0.24 0.26 0.38
RHI 0.35 0.27 0.20 0.19 0.13 0.01 0.42 0.15 0.37 0.34 0.68
