# Table 7 Summary of precision values for within-project prediction and cross-project prediction
# Training project
#
Project BUG COL GIP JDT MAV MOZ PER PLA POS RUB RHI
BUG 0.62 0.38 0.53 0.51 0.47 0.67 0.58 0.55 0.61 0.56 0.55
COL 0.38 0.53 0.45 0.38 0.41 0.55 0.46 0.48 0.42 0.41 0.42
GIP 0.43 0.33 0.58 0.50 0.43 0.47 0.44 0.42 0.47 0.48 0.46
JDT 0.23 0.18 0.24 0.28 0.20 0.30 0.24 0.24 0.27 0.24 0.23
MAV 0.13 0.13 0.23 0.18 0.26 0.26 0.20 0.21 0.19 0.19 0.19
MOZ 0.10 0.06 0.10 0.09 0.08 0.14 0.10 0.09 0.12 0.10 0.10 
PER 0.48 0.21 0.42 0.41 0.36 0.47 0.44 0.30 0.42 0.45 0.41
PLA 0.26 0.20 0.26 0.23 0.21 0.32 0.25 0.30 0.26 0.24 0.23
POS 0.32 0.27 0.36 0.38 0.31 0.50 0.39 0.36 0.51 0.42 0.36
RUB 0.27 0.23 0.34 0.30 0.27 0.40 0.33 0.30 0.36 0.34 0.32
RHI 0.59 0.55 0.69 0.54 0.57 0.73 0.66 0.60 0.69 0.64 0.70
