# Table 11 Summary of precision values for models using the training data without re-sampling
# Training project
BUG COL GIP JDT MAV MOZ PER PLA POS RUB RHI
BUG 0.70 0.66 0.68 0.74 0.50 0.45 0.69 0.71 0.63 0.63 0.58
COL 0.49 0.67 0.59 0.72 0.33 0.57 0.58 0.65 0.65 0.60 0.42
GIP 0.48 0.52 0.66 0.67 0.64 0.88 0.57 0.79 0.58 0.54 0.48
JDT 0.30 0.37 0.48 0.57 0.38 0.76 0.37 0.54 0.38 0.37 0.24
MAV 0.18 0.23 0.52 0.46 0.68 0.75 0.29 0.53 0.35 0.29 0.23
MOZ 0.14 0.16 0.24 0.26 0.26 0.57 0.17 0.28 0.20 0.19 0.11
PER 0.60 0.51 0.50 0.55 0.57 0.75 0.64 0.57 0.51 0.50 0.46
PLA 0.36 0.38 0.50 0.53 0.52 0.77 0.37 0.62 0.40 0.37 0.25
POS 0.43 0.58 0.68 0.66 0.72 0.90 0.56 0.69 0.68 0.69 0.41
RUB 0.33 0.46 0.49 0.60 0.48 0.83 0.50 0.57 0.52 0.56 0.36
RHI 0.70 0.79 0.77 0.79 0.82 0.86 0.79 0.83 0.82 0.86 0.74
