# Table 8 Summary of recall values for within-project prediction and cross-project prediction
# Training project
Project BUG COL GIP JDT MAV MOZ PER PLA POS RUB RHI
BUG 0.63 0.64 0.54 0.72 0.67 0.39 0.51 0.52 0.35 0.50 0.58
COL 0.48 0.66 0.50 0.91 0.36 0.53 0.53 0.74 0.76 0.61 0.59
GIP 0.10 0.44 0.73 0.62 0.60 0.38 0.80 0.86 0.56 0.49 0.76
JDT 0.48 0.69 0.60 0.64 0.60 0.53 0.60 0.71 0.56 0.61 0.66 
MAV 0.19 0.45 0.61 0.70 0.74 0.45 0.70 0.73 0.59 0.72 0.75 
MOZ 0.67 0.71 0.72 0.82 0.78 0.67 0.75 0.82 0.70 0.72 0.78
PER 0.17 0.44 0.50 0.43 0.59 0.25 0.63 0.72 0.42 0.38 0.62
PLA 0.62 0.66 0.58 0.80 0.57 0.50 0.58 0.68 0.56 0.62 0.64
POS 0.40 0.65 0.65 0.74 0.79 0.57 0.72 0.81 0.65 0.66 0.75
RUB 0.22 0.57 0.37 0.46 0.58 0.32 0.59 0.56 0.44 0.63 0.54
RHI 0.32 0.65 0.54 0.50 0.81 0.49 0.72 0.77 0.50 0.58 0.70
