# Table 12 Summary of recall values for models using the training data without re-sampling
# Training project
Project BUG COL GIP JDT MAV MOZ PER PLA POS RUB RHI
BUG 0.43 0.14 0.11 0.13 0.03 0.00 0.21 0.13 0.13 0.13 0.46
COL 0.30 0.40 0.05 0.11 0.00 0.00 0.23 0.09 0.32 0.25 0.38
GIP 0.07 0.11 0.55 0.14 0.25 0.01 0.35 0.11 0.40 0.16 0.65
JDT 0.31 0.25 0.06 0.08 0.01 0.00 0.20 0.08 0.26 0.22 0.50 
MAV 0.11 0.12 0.22 0.15 0.22 0.03 0.23 0.21 0.38 0.27 0.66 
MOZ 0.57 0.34 0.27 0.30 0.13 0.06 0.47 0.30 0.46 0.39 0.69
PER 0.12 0.06 0.24 0.09 0.12 0.01 0.25 0.06 0.25 0.09 0.47
PLA 0.42 0.24 0.08 0.13 0.01 0.01 0.22 0.16 0.25 0.22 0.47
POS 0.30 0.24 0.29 0.20 0.18 0.02 0.30 0.21 0.37 0.28 0.66
RUB 0.13 0.12 0.04 0.04 0.03 0.00 0.12 0.03 0.15 0.17 0.41
RHI 0.23 0.17 0.12 0.11 0.07 0.00 0.29 0.08 0.24 0.21 0.64
