#
# Kang et al.~\cite{kang2020predicting}
#
# TABLE 4 Experimental results obtained from dataset A to answer RQ1
# A 
# N0 (no preprocessing) 
# N1 (min-max normalization) 
# N2 (z-score normalization) 
# S5 (SMOTE 100:100)
#
Model,N0(Acc),N0(Pr),N0(R),N0(F),N1(Acc),N1(Pr),N1(R),N1(F),N2(Acc),N2(Pr),N2(R,N2(F),S5(Acc),S5(Pr),S5(R),S5(F)
NB,0.882,0.625,0.652,0.638,0.882,0.625,0.652,0.638,0.882,0.625,0.652,0.638,0.868,0.856,0.884,0.870
LR,0.875,0.619,0.565,0.591,0.875,0.619,0.565,0.591,0.875,0.619,0.565,0.591,0.864,0.861,0.868,0.864
SVM,0.882,0.650,0.565,0.605,0.875,0.632,0.522,0.572,0.882,0.650,0.565,0.605,0.884,0.866,0.909,0.887
1-NN,0.847,0.526,0.435,0.476,0.847,0.526,0.435,0.476,0.847,0.526,0.435,0.476,0.880,0.877,0.884,0.881
5-NN,0.889,0.706,0.522,0.600,0.889,0.706,0.522,0.600,0.889,0.706,0.522,0.600,0.872,0.869,0.876,0.872
10-NN,0.889,0.769,0.435,0.556,0.889,0769,0.435,0.556,0.889,0.769,0.435,0.556,0.868,0.862,0.876,0.869
RF,0.889,0.706,0.522,0.600,0.886,0.750,0.522,0.615,0.896,0.750,0.522,0.615,0.934,0.934,0.934,0.934
MLP,0.889,0.652,0.652,0.652,0.889,0.652,0.652,0.652,0.889,0.652,0.652,0.652,0.880,0.871,0.893,0.882
#
# TABLE 5 Experimental results obtained from dataset B to answer RQ1
# B N0 (no preprocessing) N1 (min-max normalization) N2 (z-score normalization) S5 (SMOTE 100:100)
# Acc Pr R F Acc Pr R F Acc Pr R F Acc Pr R F
#
NB,0.912,0.375,0.462,0.414,0.912,0.375,0.462,0.414,0.909,0.364,0.462,0.407,0.788,0.868,0.678,0.761
LR,0.943,0.700,0.269,0.389,0.943,0.700,0.269,0.389,0.943,0.700,0.269,0.389,0.871,0.856,0.892,0.873
SVM,0.943,1.000,0.154,0.267,0.940,1.000,0.115,0.207,0.940,0.800,0.154,0.258,0.851,0.820,0.900,0.858
1-NN,0.899,0.240,0.231,0.235,0.899,0.240,0.231,0.235,0.899,0.240,0.231,0.235,0.922,0.920,0.925,0.922
5-NN,0.933,0.500,0.154,0.235,0.933,0.500,0.154,0.235,0.933,0.500,0.154,0.235,0.918,0.897,0.944,0.920
10-NN,0.933,0.500,0.038,0.071,0.933,0.500,0.038,0.071,0.933,0.500,0.038,0.071,0.900,0.877,0.931,0.903
RF,0.943,0.700,0.269,0.389,0.943,0.667,0.308,0.421,0.938,0.600,0.231,0.333,0.960,0.953,0.967,0.960
MLP,0.933,0.500,0.269,0.350,0.933,0.500,0.269,0.350,0.933,0.500,0.269,0.350,0.913,0.909,0.917,0.913
