#
# Kondo et al.~\cite{kondo2020impact}
#
# Table 18 The median values of AUC for each context metric, each extended context metric, COMB, each indentation metric, the change metrics and each of the change metrics
# Metric Metrics Projects
#
Types Bitcoin Camel Gerrit Gimp Hadoop Osmand
Context NCW(c,1,+) 0.653/0.709 0.573/0.597 0.660/0.719 0.662/0.706 0.642/0.736 0.628/0.758
Context NCKW(c,10,+) 0.648/0.695 0.576/0.599 0.643/0.679 0.675/0.689 0.684/0.716 0.628/0.744
Context NCCW(c,1,+) 0.706/0.798 0.640/0.738 0.699/0.786 0.699/0.762 0.660/0.780 0.625/0.751
Context NCCKW(c,10,+) 0.689/0.754 0.628/0.682 0.677/0.735 0.699/0.723 0.691/0.769 0.660/0.758
Context COMB 0.750/0.798 0.741/0.738 0.771/0.786 0.743/0.768 0.765/0.780 0.737/0.751
Indentation AS 0.735/0.780 0.675/0.739 0.742/0.785 0.693/0.737 0.682/0.763 0.636/0.749
Traditional AB 0.734/0.739 0.667/0.733 0.720/0.775 0.692/0.689 0.693/0.754 0.614/0.750
Traditional Changes 0.706/0.670 0.708/0.668 0.694/0.666 0.677/0.574 0.733/0.732 0.645/0.634
Traditional NS 0.525/0.526 0.546/0.548 0.597/0.599 0.539/0.540 0.525/0.529 0.519/0.530
Traditional ND 0.608/0.607 0.666/0.679 0.647/0.659 0.582/0.595 0.695/0.711 0.624/0.649
Traditional NF 0.638/0.660 0.661/0.692 0.673/0.699 0.623/0.650 0.711/0.740 0.636/0.689
Traditional Entropy 0.633/0.651 0.648/0.678 0.667/0.694 0.641/0.633 0.649/0.703 0.638/0.689
Traditional LA 0.730/0.750 0.681/0.744 0.700/0.775 0.717/0.755 0.680/0.777 0.663/0.730
Traditional LD 0.560/0.606 0.568/0.587 0.617/0.670 0.651/0.677 0.665/0.686 0.594/0.668
Traditional LT 0.487/0.522 0.512/0.506 0.487/0.466 0.523/0.499 0.589/0.696 0.500/0.521
