#
# Tourani and Adams~\cite{tourani2016impact}
#
# TABLE IV: Performance of explanatory models with issue
# metrics. b means “base model”, increases of ≥ 3% in bold,
# and decreases of ≤ −3% underlined.
#
Project,Precb,Recallb,f1b,aucb,prec,recall,f1,auc
cinder,0.82,0.49,0.62,0.53,0.83,0.59,0.69,0.56
devstack,0.41,0.64,0.50,0.63,0.39,0.66,0.49,0.62
glance,0.64,0.60,0.62,0.57,0.67,0.61,0.64,0.60
heat,0.73,0.54,0.62,0.58,0.75,0.61,0.67,0.61
keystone,0.61,0.68,0.65,0.70,0.59,0.68,0.64,0.69
neutron,0.65,0.73,0.69,0.71,0.64,0.74,0.69,0.70
nova,0.75,0.64,0.69,0.59,0.77,0.61,0.68,0.61
openstack-manuals,0.81,0.55,0.66,0.57,0.82,0.57,0.67,0.59
swift,0.46,0.67,0.54,0.64,0.45,0.66,0.54,0.63
tempest,0.58,0.56,0.57,0.53,0.67,0.58,0.62,0.61
cdt,0.73,0.70,0.72,0.72,0.73,0.70,0.72,0.71
egit,0.86,0.67,0.75,0.71,0.85,0.66,0.74,0.71
jgit,0.70,0.65,0.67,0.67,0.72,0.68,0.70,0.69
linuxtools,0.83,0.61,0.70,0.69,0.84,0.61,0.70,0.70
scout.rt,0.67,0.70,0.68,0.70,0.67,0.71,0.69,0.70
#
# TABLE V: Performance of explanatory models with review
# metrics. b means “base model”, increases of ≥ 3% in bold,
# and decreases of ≤ −3% underlined.
#
cinder,0.66,0.61,0.63,0.60,0.67,0.59,0.63,0.61
devstack,0.40,0.64,0.49,0.67,0.37,0.69,0.48,0.66
glance,0.56,0.61,0.58,0.58,0.57,0.59,0.58,0.59
heat,0.48,0.55,0.51,0.58,0.47,0.60,0.53,0.58
keystone,0.49,0.61,0.55,0.61,0.46,0.64,0.54,0.60
neutron,0.68,0.63,0.68,0.68,0.72,0.71,0.71,0.71
nova,0.61,0.65,0.63,0.64,0.61,0.65,0.63,0.64
openstack-manuals,0.51,0.51,0.51,0.56,0.56,0.59,0.57,0.61
swift,0.41,0.60,0.48,0.63,0.42,0.59,0.49,0.63
tempest,0.42,0.59,0.49,0.59,0.40,0.64,0.49,0.58
cdt,0.55,0.70,0.62,0.72,0.54,0.73,0.62,0.72
egit,0.76,0.65,0.70,0.68,0.79,0.72,0.75,0.72
jgit,0.63,0.66,0.64,0.66,0.66,0.73,0.69,0.70
linuxtools,0.76,0.67,0.71,0.69,0.76,0.64,0.70,0.69
scout.rt,0.54,0.63,0.58,0.65,0.55,0.65,0.59,0.66
#
# TABLE VI: Performance of explanatory models with issue and
# review metrics. b means “base model”, increases of ≥ 3% in
# bold, and decreases of ≤ −3% underlined.
#
cinder,0.83,0.49,0.62,0.54,0.86,0.57,0.69,0.60
devstack,0.41,0.59,0.48,0.64,0.39,0.56,0.46,0.63
glance,0.64,0.58,0.61,0.57,0.76,0.71,0.74,0.71
heat,0.72,0.51,0.60,0.56,0.76,0.58,0.66,0.61
keystone,0.72,0.61,0.66,0.63,0.73,0.60,0.66,0.64
neutron,0.64,0.74,0.69,0.71,0.71,0.80,0.75,0.77
nova,0.75,0.61,0.67,0.58,0.78,0.60,0.68,0.62
openstack-manuals,0.81,0.58,0.68,0.55,0.85,0.62,0.72,0.62
swift,0.46,0.67,0.55,0.64,0.49,0.62,0.55,0.65
tempest,0.60,0.44,0.50,0.53,0.70,0.61,0.65,0.63
cdt,0.59,0.68,0.63,0.70,0.58,0.66,0.62,0.69
egit,0.85,0.70,0.77,0.71,0.89,0.75,0.82,0.77
jgit,0.75,0.65,0.70,0.69,0.74,0.71,0.73,0.70
linuxtools,0.80,0.68,0.73,0.69,0.80,0.67,0.73,0.69
scout.rt,0.59,0.65,0.62,0.66,0.62,0.70,0.66,0.69
