#
# TABLE II: Statistics of the Studied OpenStack and Eclipse Projects.
#
Project,TotalNumOfCommits,TotalNumOfCommits(%defective),StartDate,TotalNumOfReviews,TotalNumOfReviews(%linked),NumOfcommitsLinked,NumOfcommitsLinked(%total),TotalNumOfIssues,TotalNumOfIssues(%linked),NumOfcommitsLinked,NumOfcommitsLinked(%total),NumOfcommitsLinkedToBoth,NumOfcommitsLinkedToBoth(%total)
cinder,5013,30,2012-05-03,4209,65,2721,54,2057,78,1654,33,1654,33
devstack,5515,13,2011-09-11,3271,77,2507,45,1088,70,827,15,827,15
glance,4125,28,2010-08-11,2385,77,1844,44,1521,75,1073,26,1155,28
heat,7341,23,2012-03-13,5324,72,3859,52,1781,83,1835,25,1982,27
keystone,6654,20,2011-04-14,4214,73,3084,46,1964,73,1530,23,1996,30
neutron,8512,28,2010-12-31,6806,64,4384,51,3960,70,2979,35,2979,35
nova,32998,25,2010-05-30,14699,79,11583,35,8210,68,5940,18,6600,20
openstack-manuals,8483,26,2011-09-20,7356,67,4951,58,2867,79,2121,25,2290,27
swift,4333,17,2010-07-12,2203,72,1580,36,1106,46,953,22,1043,24
tempest,5813,18,2011-08-26,3875,80,3105,53,1619,70,1337,23,1453,25
cdt,24025,40,2002-06-26,1006,92,721,3,13576,54,480,2,9610,40
egit,4513,48,2009-09-29,4270,86,3655,81,2200,77,1624,36,1850,41
jgit,3984,36,2009-09-29,3736,84,3187,80,513,41,598,15,756,19
linuxtools,9712,41,2007-02-02,3925,86,3302,34,1938,56,485,5,1456,15
scout.rt,3299,39,2010-11-25,1668,59,989,30,1350,80,825,25,2045,62
