# TABLE I
# NUMBER OF COMMITS, FILES AND DEFECTIVE RATES OF OUR STUDY
# SUBJECTS FOR AD-HOC SZZ AND ITS SZZ
#
# Numcom: number of commits
# %its: defective ratio from ITS-SZZ
# %adh: defective ratio from AD-SZZ
#
# Numfiles: number of files
# %its: defective ratio from ITS-SZZ
# %adh: defective ratio from AD-SZZ
#
Project,Numcom,c(%its),c(%adh),Numfiles,f(%its),f(%adh)
ant-ivy,1917,3.29,25.98,11581,4.83,29.91
archiva,3873,2.89,11.72,23899,3.46,12.25
calcite,2056,1.07,12.89,24653,4.53,29.81
cayenne,4157,1.95,7.60,42203,3.18,9.54
c-bcel,957,1.57,7.21,10842,1.02,10.15
c-beanutils,741,1.35,13.09,4760,0.82,10.23
c-codec,1093,0.73,12.63,3299,1.76,14.55
c-collections,2229,0.58,8.97,18362,0.43,7.26
c-compress,1765,2.38,5.38,5026,4.12,7.54
c-configuration,2010,1.24,8.71,7011,2.31,12.22
c-dbcp,1004,1.99,21.61,3459,2.66,22.95
c-digester,1375,0.73,8.44,5684,0.48,6.30
c-io,1411,1.42,9.99,4912,1.71,9.85
c-jcs,942,2.02,14.01,10905,2.60,20.02
c-jexl,884,2.15,15.05,3962,5.98,20.92
c-lang,3966,1.64,10.26,11962,1.74,10.08
c-math,5098,0.82,8.14,32421,1.55,9.51
c-net,1435,4.46,5.64,6645,2.48,5.64
c-scxml,620,1.13,29.35,2898,3.11,39.41
c-validator,724,2.07,15.47,2356,2.12,13.03
c-vfs,1378,1.45,17.78,9360,1.63,14.97
deltaspike,1519,1.97,3.75,7464,3.56,8.87
eagle,609,0.82,10.67,8989,3.39,32.86
giraph,861,1.86,8.83,9760,3.65,15.28
gora,568,1.41,4.58,3250,2.62,7.45
jspwiki,5086,2.22,22.87,20233,1.57,15.27
knox,841,2.02,5.23,7667,5.16,9.69
kylin,4362,3.07,7.47,31027,3.64,11.09
lens,1491,2.15,12.41,11207,5.84,24.19
mahout,2393,1.55,10.03,26713,2.74,18.11
manifoldcf,2609,7.51,19.93,17096,4.01,11.61
nutch,1536,6.45,15.17,7805,6.43,21.42
opennlp,1288,2.72,12.66,11490,2.04,10.53
parquet-mr,1184,1.10,40.79,8016,2.88,47.32
santuario-java,1432,1.19,20.11,12190,1.14,16.46
systemml,3645,1.48,19.56,36761,2.33,24.23
tika,2640,3.64,10.34,8797,6.45,18.17
wss4j,1899,1.42,8.64,17576,1.92,10.55
