# TABLE VII
# RANKING OF MODEL PERFORMANCE METRICS, MEAN (M), STANDARD
# DEVIATION (SD), MEDIAN (MED), MEAN ABSOLUTE ERROR (MAD),
# CONFIDENCE INTERVAL (CI), COHEN’S d (d), CLIFF’S TABLE (TABLE) AND EFFECT
# SIZE MAGNITUDES NEGLIGIBLE (n), SMALL (s), MEDIUM (m), LARGE (l).
# BOLDING DENOTES A STATISTICALLY SIGNIFICANT DIFFERENCE TO THE
# FIRST RANK
#
#
#
#
# Train/test split
# ad-hoc SZZ
# AUC
Method,AUC,M,SD,CI-L,CI-H,d,es
combined,0.832,0.064,0.818,0.847,0.000,(n)
jit,0.820,0.071,0.806,0.835,0.181,(n)
static,0.766,0.070,0.752,0.781,0.988,(l)
pmd,0.756,0.075,0.741,0.771,1.091,(l)
# ITS SZZ
# AUC
combined,0.865,0.048,0.853,0.876,0.000,(n)
static,0.818,0.059,0.806,0.829,0.876,(l)
jit,0.814,0.050,0.802,0.825,1.051,(l)
pmd,0.786,0.065,0.774,0.798,1.376,(l)
# Interval approach
# ad-hoc SZZ
# AUC
combined,0.707,0.121,0.685,0.732,0.000,(n)
jit,0.695,0.136,0.664,0.716,0.078,(n)
static,0.681,0.126,0.657,0.709,0.110,(n)
pmd,0.625,0.123,0.597,0.645,0.351,(n)
# ITS SZZ
# AUC
combined,0.759,0.170,0.730,0.795,0.000,(n)
static,0.733,0.162,0.703,0.773,0.088,(n)
pmd,0.697,0.186,0.657,0.727,0.202,(s)
jit,0.672,0.199,0.632,0.716,0.247,(s)
