# TABLE VII
# RANKING OF MODEL PERFORMANCE METRICS, MEAN (M), STANDARD
# DEVIATION (SD), MEDIAN (MED), MEAN ABSOLUTE ERROR (MAD),
# CONFIDENCE INTERVAL (CI), COHEN’S d (d), CLIFF’S TABLE (TABLE) AND EFFECT
# SIZE MAGNITUDES NEGLIGIBLE (n), SMALL (s), MEDIUM (m), LARGE (l).
# BOLDING DENOTES A STATISTICALLY SIGNIFICANT DIFFERENCE TO THE
# FIRST RANK
# Train/test split
#
# ad-hoc SZZ
Method,F-measure,M,SD,CI-L,CI-H,d,es
combined,0.510,0.149,0.480,,0.539,0.000,(n)
jit,0.498,0.152,0.468,,0.528,0.078,(n)
static,0.441,0.123,0.412,,0.471,0.500,(m)
pmd,0.431,0.139,0.401,,0.461,0.545,(m)
# ITS SZZ
combined,0.190,0.126,0.110,,0.320,0,(n)
jit,0.151,0.103,0.090,,0.250,0.152,(s)
static,0.152,0.111,0.094,,0.247,0.156,(s)
pmd,0.134,0.089,0.080,,0.223,0.249,(s)
# Interval approach
# ad-hoc SZZ
combined,0.350,0.236,0.304,,0.400,-0.000,(n)
static,0.333,0.225,0.286,,0.382,0.015,(n)
jit,0.320,0.250,0.273,,0.370,0.063,(n)
pmd,0.272,0.227,0.233,,0.320,0.158,(s)
# ITS SZZ
combined,0.086,0.128,0.049,,0.126,0.000,(n)
static,0.091,0.135,0.055,,0.127,-0.011,(n)
pmd,0.062,0.091,0.029,,0.100,0.057,(n)
jit,0.054,0.080,0.000,,0.087,0.119,(n)
