#
# Yan et al.~\cite{yan2020effort}
#
# Table 2: The performance of the three supervised approaches in terms of our
# chosen performance measures which consider inspecting 20% of the changed LOC.
#
# P: Precision@20% 
# R: Recall@20% 
# F1: F1-score@20% 
# PCI: PCI@20%
#
Project,P(OneWay),P(EALR),P(CBS+),R(OneWay),R(EALR),R(CBS+),F1(OneWay),F1(EALR),F1(CBS+),PCI(OneWay),PCI(EALR),PCI(CBS+)
P1,0.23,0.24,0.40,0.63,0.53,0.53,0.33,0.31,0.45,0.83,0.69,0.39
P2,0.13,0.14,0.27,0.56,0.46,0.42,0.21,0.21,0.32,0.80,0.65,0.30
P3,0.20,0.21,0.42,0.58,0.50,0.46,0.30,0.29,0.43,0.77,0.64,0.30
P4,0.21,0.26,0.49,0.39,0.39,0.49,0.25,0.30,0.49,0.57,0.47,0.31
P5,0.13,0.15,0.35,0.42,0.49,0.47,0.19,0.22,0.40,0.61,0.64,0.26
P6,0.08,0.10,0.22,0.46,0.32,0.34,0.12,0.14,0.23,0.71,0.41,0.22
P7,0.11,0.13,0.22,0.55,0.42,0.40,0.18,0.19,0.28,0.73,0.49,0.27
P8,0.11,0.15,0.30,0.65,0.41,0.45,0.19,0.21,0.35,0.86,0.43,0.21
P9,0.38,0.44,0.74,0.56,0.47,0.64,0.44,0.44,0.68,0.69,0.53,0.41
P10,0.10,0.10,0.26,0.53,0.49,0.54,0.16,0.16,0.35,0.78,0.68,0.28
P11,0.12,0.15,0.30,0.60,0.55,0.49,0.19,0.23,0.37,0.83,0.62,0.26
P12,0.22,0.22,0.48,0.63,0.56,0.50,0.33,0.31,0.48,0.84,0.75,0.32
P13,0.11,0.20,0.32,0.51,0.48,0.56,0.17,0.27,0.40,0.80,0.40,0.29
P14,0.12,0.14,0.37,0.61,0.55,0.42,0.20,0.22,0.39,0.84,0.68,0.20
