#
# Yan et al.~\cite{yan2020effort}
#
# P: Precision@20% 
# R: Recall@20% 
# F1: F1-score@20% 
# PCI: PCI@20%
#

# Table 3: The performance of the three supervised approaches
# in terms of our chosen performance measures
# while not considering the amount of inspection effort.
#Project IFA AUC
# IFA: I
# AUC: A
Project,I(OneWay),A(EALR),I(CBS+),A(OneWay),I(EALR),A(CBS+)
P1,54.22,7.89,5.00,0.82,0.68,0.81
P2,109.89,9.11,8.44,0.75,0.62,0.74
P3,137.11,32.56,3.78,0.76,0.63,0.79
P4,130.22,2.33,3.67,0.72,0.61,0.81
P5,125.44,8.33,4.67,0.70,0.58,0.81
P6,45.11,7.89,9.56,0.73,0.58,0.74
P7,45.78,5.56,8.22,0.71,0.56,0.71
P8,281.78,1.89,4.33,0.77,0.54,0.78
P9,64.78,0.33,1.89,0.81,0.60,0.91
P10,359.11,12.89,4.33,0.78,0.61,0.81
P11,210.44,6.89,4.78,0.76,0.54,0.81
P12,130.89,1.00,4.33,0.82,0.65,0.82
P13,287.67,1.67,6.89,0.78,0.58,0.83
P14,191.89,12.56,2.11,0.77,0.58,0.81
