#
# Yan et al.~\cite{yan2020effort}
#
# Table 4: The performance of the unsupervised approaches compared with CBS+ in terms of our chosen performance measures
# which consider inspecting 20% of the changed LOC.
#
# Effort-aware
# P: Precision@20% 
# R: Recall@20% 
# F1: F1-score@20% 
# PCI: PCI@20%
#
# Effort-unaware
# IFA: I
# AUC: A
#
# Project Precision@20% Recall@20% F1-score@20% PCI@20%
Project,P(LT),P(Churn),P(CBS+),R(LT),R(Churn),R(CBS+),F1(LT),F1(Churn),F1(CBS+),PCI(LT),PCI(Churn),PCI(CBS+)
P1,0.12,0.24,0.40,0.21,0.67,0.53,0.15,0.35,0.45,0.43,0.85,0.39
P2,0.12,0.14,0.27,0.29,0.61,0.42,0.17,0.22,0.32,0.46,0.83,0.30
P3,0.15,0.22,0.42,0.29,0.69,0.46,0.20,0.33,0.43,0.53,0.86,0.30
P4,0.18,0.25,0.49,0.27,0.69,0.49,0.21,0.36,0.49,0.45,0.85,0.31
P5,0.10,0.14,0.35,0.26,0.63,0.47,0.14,0.23,0.40,0.49,0.85,0.26
P6,0.05,0.08,0.22,0.18,0.53,0.34,0.08,0.13,0.23,0.34,0.81,0.22
P7,0.07,0.11,0.22,0.23,0.66,0.40,0.10,0.19,0.28,0.38,0.87,0.27
P8,0.09,0.12,0.30,0.32,0.71,0.45,0.13,0.20,0.35,0.54,0.89,0.21
P9,0.16,0.39,0.74,0.14,0.71,0.64,0.14,0.50,0.68,0.42,0.85,0.41
P10,0.07,0.11,0.26,0.27,0.71,0.54,0.11,0.19,0.35,0.52,0.89,0.28
P11,0.09,0.12,0.30,0.26,0.64,0.49,0.13,0.20,0.37,0.44,0.86,0.26
P12,0.15,0.24,0.48,0.28,0.72,0.50,0.19,0.36,0.48,0.49,0.88,0.32
P13,0.09,0.13,0.32,0.30,0.66,0.56,0.13,0.21,0.40,0.56,0.88,0.29
P14,0.09,0.13,0.37,0.24,0.65,0.42,0.13,0.21,0.39,0.45,0.86,0.20
