#
# Yan et al.~\cite{yan2020effort}
#
# Table 5: The performance of the unsupervised approaches
# compared with CBS+ in terms of our chosen performance
# measures while not considering the amount of inspection
# effort.
#
# Effort-aware
# P: Precision@20% 
# R: Recall@20% 
# F1: F1-score@20% 
# PCI: PCI@20%
#
# Effort-unaware
# I: IFA
# A: AUC
#
#
Project,I(LT),I(Churn),I(CBS+),A(LT),A(Churn),A(CBS+)
P1,42.22,51.89,5.00,0.78,0.81,0.81
P2,26.89,81.67,8.44,0.65,0.74,0.74
P3,38.00,138.89,3.78,0.73,0.77,0.79
P4,24.00,234.11,3.67,0.70,0.78,0.81
P5,28.00,213.22,4.67,0.71,0.78,0.81
P6,42.00,44.00,9.56,0.67,0.76,0.74
P7,25.44,45.33,8.22,0.64,0.75,0.71
P8,120.56,249.33,4.33,0.69,0.76,0.78
P9,16.89,94.67,1.89,0.81,0.91,0.91
P10,46.67,362.44,4.33,0.70,0.79,0.81
P11,25.89,207.11,4.78,0.67,0.76,0.81
P12,22.22,120.89,4.33,0.72,0.81,0.82
P13,152.67,283.89,6.89,0.74,0.79,0.83
P14,50.56,162.33,2.11,0.69,0.76,0.81
