#
#
# TABLE A1 The results obtained using J48 as the base classifier
# Abbreviations: AUC, area under curve; RF, Random Forest; RUS, random undersampling.
# Project,Measure,Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
#
Project,Measure,Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
Ant,Recall-1,68.4,74.4,83.3,72.3,65.8,76.3,89.4,74.8,69.9,68.3,75.8,69.7
Ant,Precision-1,70.9,64.3,59.3,68.1,75.8,67.4,61.8,69.5,72.9,72.3,68.6,71.9
Ant,fMeasure-1,69.6,69.0,69.3,70.1,70.4,71.6,73.1,72.0,71.3,70.2,72.0,70.8
Ant,AUC,85.9,82.1,86.2,84.3,92.5,92.2,93.1,92.1,91.4,91.0,91.4,91.2
Ant,PofB20,59.1,63.9,71.2,62.3,55.9,65.2,77.2,64.3,60.2,58.9,65.0,60.1
Buck,Recall-1,47.7,60.8,78.9,52.2,43.4,58.5,85.0,51.9,50.4,50.2,61.0,50.8
Buck,Precision-1,61.5,49.3,38.9,52.7,69.0,56.0,41.6,56.6,62.1,62.5,50.4,61.2
Buck,fMeasure-1,53.6,54.4,52.1,52.4,53.2,57.2,55.8,54.2,55.6,55.6,55.1,55.5
Buck,83.0,75.7,83.8,82.3,90.0,89.1,90.5,88.9,87.6,87.5,86.7,87.6
Buck,PofB20,91.5,92.9,96.6,92.1,91.6,93.3,96.6,92.3,92.9,92.9,94.3,92.7
Flink,Recall-1,54.2,69.2,79.4,66.5,55.7,68.5,83.2,66.4,60.9,61.0,66.7,62.8
Flink,Precision-1,76.1,56.9,46.9,63.5,79.9,67.7,50.5,68.0,73.2,70.9,61.4,70.0
Flink,fMeasure-1,63.3,62.4,58.9,64.9,65.6,68.1,62.9,67.2,66.4,65.5,63.9,66.2
Flink,AUC,84.5,78.9,83.9,84.6,90.4,90.8,90.1,90.5,88.8,88.7,87.6,89.0
Flink,PofB20,53.3,64.4,68.3,62.4,54.8,64.6,71.0,62.3,59.4,59.4,62.5,60.6
Hadoop,Recall-1,66.0,80.2,94.8,72.7,67.8,83.0,99.0,73.7,71.3,71.2,78.7,70.9
Hadoop,Precision-1,74.2,63.0,47.8,67.9,76.7,68.6,45.5,69.1,75.0,74.0,68.6,73.8
Hadoop,fMeasure-1,69.8,70.5,63.5,70.2,72.0,75.1,62.3,71.3,73.1,72.5,73.3,72.3
Hadoop,AUC,93.4,87.3,92.4,93.7,96.8,96.2,95.7,96.3,96.4,96.3,96.3,96.3
Hadoop,PofB20,93.6,95.4,98.4,94.8,93.5,95.6,99.6,94.9,94.7,94.2,95.6,94.5
iTextpdf,Recall-1,47.4,62.0,76.4,58.3,49.2,62.2,82.3,60.1,53.7,54.3,64.9,55.8
iTextpdf,Precision-1,63.0,48.9,39.8,55.2,70.0,59.5,44.5,61.3,63.8,62.6,53.5,62.5
iTextpdf,fMeasure-1,54.0,54.6,52.3,56.7,57.8,60.8,57.7,60.7,58.3,58.1,58.6,58.9
iTextpdf,AUC,78.0,75.5,80.9,79.8,88.2,88.7,89.2,88.1,86.0,86.5,86.2,86.8
iTextpdf,PofB20,46.8,58.2,66.4,55.2,48.6,58.9,71.1,56.8,52.1,52.7,60.6,54.0
jEdit,Recall-1,72.9,81.4,82.3,78.4,76.5,88.3,88.5,83.7,88.1,87.7,88.6,87.9
jEdit,Precision-1,78.6,70.2,61.8,76.3,86.3,83.8,71.9,84.8,89.6,89.3,87.9,89.4
jEdit,fMeasure-1,75.6,75.4,70.6,77.3,81.1,86.0,79.3,84.3,88.8,88.5,88.2,88.6
jEdit,AUC,89.2,86.1,84.4,89.9,94.2,95.2,93.5,94.7,95.1,94.9,94.7,95.0
jEdit,PofB20,71.6,78.5,78.1,76.6,75.5,86.0,84.5,82.0,86.4,86.0,86.7,86.2
Lucene,Recall-1,57.3,67.7,78.0,63.1,57.3,71.9,83.1,65.7,59.0,58.6,64.1,60.1
Lucene,Precision-1,66.5,56.1,50.9,60.6,75.1,65.7,57.6,66.2,67.7,66.8,61.4,66.3
Lucene,fMeasure-1,61.5,61.3,61.6,61.8,65.0,68.6,68.0,65.9,63.1,62.4,62.7,63.0
Lucene,AUC,82.5,77.9,80.9,79.5,88.4,89.5,90.0,87.4,85.7,85.3,84.7,85.5
Lucene,PofB20,43.6,49.0,52.4,47.0,42.5,51.7,56.2,48.4,45.0,45.2,48.0,46.2
